mol_index,bit_id,description
39,2,Bit 2: no substructure found
40,2,Bit 2: no substructure found
41,2,Bit 2: no substructure found
42,2,Bit 2: no substructure found
43,2,Bit 2: no substructure found
44,2,Bit 2: no substructure found
45,2,Bit 2: no substructure found
46,2,Bit 2: no substructure found
47,2,Bit 2: no substructure found
48,2,Bit 2: no substructure found
49,2,Bit 2: no substructure found
50,2,Bit 2: no substructure found
51,2,Bit 2: no substructure found
52,2,Bit 2: no substructure found
53,2,Bit 2: no substructure found
54,2,Bit 2: no substructure found
55,2,Bit 2: no substructure found
56,2,Bit 2: no substructure found
57,2,Bit 2: no substructure found
58,2,Bit 2: no substructure found
59,2,Bit 2: no substructure found
60,2,Bit 2: no substructure found
61,2,Bit 2: no substructure found
62,2,Bit 2: no substructure found
63,2,Bit 2: no substructure found
64,2,Bit 2: no substructure found
65,2,Bit 2: no substructure found
66,2,Bit 2: no substructure found
67,2,Bit 2: no substructure found
68,2,Bit 2: no substructure found
69,2,Bit 2: no substructure found
70,2,Bit 2: substructure detected but no common functional groups matched
71,2,Bit 2: no substructure found
72,2,Bit 2: no substructure found
73,2,Bit 2: no substructure found
74,2,Bit 2: no substructure found
75,2,Bit 2: no substructure found
76,2,Bit 2: no substructure found
77,2,Bit 2: no substructure found
78,2,Bit 2: no substructure found
79,2,Bit 2: no substructure found
80,2,Bit 2: no substructure found
81,2,Bit 2: no substructure found
82,2,Bit 2: no substructure found
83,2,Bit 2: no substructure found
84,2,Bit 2: no substructure found
85,2,Bit 2: no substructure found
86,2,Bit 2: no substructure found
87,2,Bit 2: no substructure found
88,2,Bit 2: no substructure found
89,2,Bit 2: no substructure found
90,2,Bit 2: no substructure found
91,2,Bit 2: no substructure found
92,2,Bit 2: no substructure found
93,2,Bit 2: substructure detected but no common functional groups matched
94,2,Bit 2: no substructure found
95,2,Bit 2: no substructure found
96,2,Bit 2: no substructure found
97,2,Bit 2: no substructure found
98,2,Bit 2: no substructure found
99,2,Bit 2: no substructure found
100,2,Bit 2: no substructure found
101,2,Bit 2: no substructure found
102,2,Bit 2: no substructure found
103,2,Bit 2: no substructure found
104,2,Bit 2: no substructure found
105,2,Bit 2: substructure detected but no common functional groups matched
106,2,Bit 2: no substructure found
107,2,Bit 2: no substructure found
108,2,Bit 2: no substructure found
109,2,Bit 2: no substructure found
110,2,Bit 2: no substructure found
111,2,Bit 2: no substructure found
112,2,Bit 2: no substructure found
113,2,Bit 2: no substructure found
114,2,Bit 2: no substructure found
115,2,Bit 2: no substructure found
116,2,Bit 2: no substructure found
117,2,Bit 2: no substructure found
118,2,Bit 2: no substructure found
119,2,Bit 2: no substructure found
120,2,Bit 2: no substructure found
121,2,Bit 2: no substructure found
122,2,Bit 2: no substructure found
123,2,Bit 2: no substructure found
124,2,Bit 2: no substructure found
125,2,Bit 2: no substructure found
126,2,Bit 2: no substructure found
127,2,Bit 2: no substructure found
128,2,Bit 2: no substructure found
129,2,Bit 2: no substructure found
130,2,Bit 2: no substructure found
131,2,Bit 2: no substructure found
132,2,Bit 2: substructure detected but no common functional groups matched
